"unique_id","range","setpoint","yvar","count","day","week","exclude","range_start","range_end","modal_bp","modal_rpt","modal_y","ii_threshold_abs","mean_rpt","sd_rpt","setpoint_rpt","ii","expi","contri","total_techreps"
"20231106_00093","range2","control","height",6,63,9,NA,115,160,519.945,136.648333333333,429.5,171.8,136.248646991064,3.35334118967825,134.581771774573,1.6668752164904,3.40284225591051,-2.3527877363451,6
"20231106_00093","range2","self","area",6,63,9,NA,115,160,519.891666666667,136.630555555556,4863.83333333333,1945.53333333333,136.116335811974,3.11020415965353,136.630555555556,-0.514219743581394,2.64343162163034,-3.15377400537682,6
"20231106_00093","range2","self","height",6,63,9,NA,115,160,519.945,136.648333333333,429.5,171.8,136.248646991064,3.35334118967825,136.648333333333,-0.399686342269817,2.93087526914885,-3.29205808084757,6
"20231106_00094","range1",NA,"area",6,84,12,NA,0,36,151.746666666667,13.9155555555556,232058,92823.2,12.6945407339024,2.13456140617493,NA,NA,NA,NA,6
"20231106_00094","range1",NA,"height",6,84,12,NA,0,36,151.746666666667,13.9155555555556,26217.1666666667,10486.8666666667,13.4727964096326,0.738110287830269,NA,NA,NA,NA,6
"20231106_00094","range2","control","area",6,84,12,NA,115,160,520.505,136.835,3442.66666666667,1377.06666666667,136.10583893284,3.20525257984298,134.581771774573,1.52406715826686,3.29579125671847,-2.21102290630872,6
"20231106_00094","range2","control","height",6,84,12,NA,115,160,520.035,136.678333333333,294.5,117.8,136.028931419399,3.27027428852013,134.581771774573,1.44715964482632,3.3063119602119,-2.29370675429501,6
"20231106_00094","range2","self","area",6,84,12,NA,115,160,520.505,136.835,3442.66666666667,1377.06666666667,136.10583893284,3.20525257984298,136.835,-0.729161067160023,2.62814276327223,-3.32581721631882,6
"20231106_00094","range2","self","height",6,84,12,NA,115,160,520.035,136.678333333333,294.5,117.8,136.028931419399,3.27027428852013,136.678333333333,-0.649401913933897,2.71234957862438,-3.34134553792607,6
"20231106_00095","range1",NA,"area",5,84,12,NA,0,36,151.712,13.904,157388.6,62955.44,10.3680989470282,3.40149268764922,NA,NA,NA,NA,5
"20231106_00095","range1",NA,"height",5,84,12,NA,0,36,151.712,13.904,17754,7101.6,11.4562422123096,3.25132510526746,NA,NA,NA,NA,5
"20231106_00095","range2","control","area",5,84,12,NA,115,160,513.234,134.411333333333,2352.6,941.04,135.261755943898,3.41172693211942,134.581771774573,0.679984169325174,2.93166387495658,-2.70942366714372,5
"20231106_00095","range2","control","height",5,84,12,NA,115,160,516.214,135.404666666667,196.4,78.56,135.205979867604,3.47654907751938,134.581771774573,0.624208093030694,2.97150760052394,-2.78805262523332,5
"20231106_00095","range2","self","area",5,84,12,NA,115,160,513.234,134.411333333333,2352.6,941.04,135.261755943898,3.41172693211942,134.411333333333,0.850422610564961,3.44519416093936,-2.87581506442002,5
"20231106_00095","range2","self","height",5,84,12,NA,115,160,516.214,135.404666666667,196.4,78.56,135.205979867604,3.47654907751938,135.404666666667,-0.198686799062847,3.07365692334119,-3.27309809834386,5
"20231106_00096","range1",NA,"area",6,84,12,NA,0,36,151.366666666667,13.7888888888889,246090.333333333,98436.1333333333,12.9268107816537,1.53929197782987,NA,NA,NA,NA,6
"20231106_00096","range1",NA,"height",6,84,12,NA,0,36,151.366666666667,13.7888888888889,25547.6666666667,10219.0666666667,13.338061867072,0.752142344363815,NA,NA,NA,NA,6
"20231106_00096","range2","control","area",6,84,12,NA,115,160,516.788333333333,135.596111111111,5370.33333333333,2148.13333333333,135.128256546675,3.24871260966452,134.581771774573,0.54648477210174,2.8521910929603,-2.6434165110283,6
"20231106_00096","range2","control","height",6,84,12,NA,115,160,515.823333333333,135.274444444444,458.833333333333,183.533333333333,134.960451153987,3.31190891913678,134.581771774573,0.378679379413585,2.81992397981657,-2.78174341481277,6
"20231106_00096","range2","self","area",6,84,12,NA,115,160,516.788333333333,135.596111111111,5370.33333333333,2148.13333333333,135.128256546675,3.24871260966452,135.596111111111,-0.467854564436242,2.7238627755452,-3.2675325245995,6
"20231106_00096","range2","self","height",6,84,12,NA,115,160,515.823333333333,135.274444444444,458.833333333333,183.533333333333,134.960451153987,3.31190891913678,135.274444444444,-0.313993290457729,2.83138160555702,-3.27860932020838,6
"20231106_00097","range1",NA,"area",6,84,12,NA,0,36,145.356666666667,11.7855555555556,234022.5,93609,12.2041620208541,2.17639636880187,NA,NA,NA,NA,6
"20231106_00097","range1",NA,"height",6,84,12,NA,0,36,151.093333333333,13.6977777777778,22831.8333333333,9132.73333333333,12.8380713313759,1.66742134275603,NA,NA,NA,NA,6
"20231106_00097","range2","control","area",6,84,12,NA,115,160,522.251666666667,137.417222222222,5181,2072.4,136.874410108192,3.43335788051085,134.581771774573,2.29263833361879,3.85730490253623,-2.09780106580341,6
"20231106_00097","range2","control","height",6,84,12,NA,115,160,522.73,137.576666666667,454.833333333333,181.933333333333,136.84476123718,3.45422015494626,134.581771774573,2.26298946260715,3.86471917881363,-2.10797518880198,6
"20231106_00097","range2","self","area",6,84,12,NA,115,160,522.251666666667,137.417222222222,5181,2072.4,136.874410108192,3.43335788051085,137.417222222222,-0.542812114030312,2.92459530743791,-3.41536986241059,6
"20231106_00097","range2","self","height",6,84,12,NA,115,160,522.73,137.576666666667,454.833333333333,181.933333333333,136.84476123718,3.45422015494626,137.576666666667,-0.731905429486403,2.87667433909791,-3.51498821001227,6
"20231106_00098","range1",NA,"area",9,105,15,NA,0,36,151.53,13.8433333333333,224175.333333333,89670.1333333333,13.0552055058156,1.23459816211554,NA,NA,NA,NA,9
"20231106_00098","range1",NA,"height",9,105,15,NA,0,36,151.53,13.8433333333333,23615,9446,13.3485658458607,0.810490721486958,NA,NA,NA,NA,9
"20231106_00098","range2","control","area",9,105,15,NA,115,160,516.773333333333,135.591111111111,3037.66666666667,1215.06666666667,135.891637086672,3.42016628489,134.581771774573,1.30986531209934,3.24881232912872,-2.59178859964895,9
"20231106_00098","range2","control","height",9,105,15,NA,115,160,519.345555555556,136.448518518519,255,102,135.553237512949,4.44081626212462,134.581771774573,0.971465738375855,3.67461862141898,-3.61169971284159,9
"20231106_00098","range2","self","area",9,105,15,NA,115,160,516.773333333333,135.591111111111,3037.66666666667,1215.06666666667,135.891637086672,3.42016628489,135.591111111111,0.300525975561355,3.31860308254453,-2.95181284198347,9
"20231106_00098","range2","self","height",9,105,15,NA,115,160,519.345555555556,136.448518518519,255,102,135.553237512949,4.44081626212462,136.448518518519,-0.895281005569535,3.33935117605702,-4.35589301515023,9
